"Flume","Treatment","Type","Family","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Flume 1","ALAN + Crayfish","Prey","Chironomidae",7.67671428571429,8.00424010885696,-26.0692857142857,39.820377345695,4.97491039800673,0.0800424010885696,0.39820377345695
"Flume 1","ALAN + Crayfish","Prey","Chironomidae",6.43871428571429,6.47732417593195,-26.4652857142857,39.977594745564,6.171930516325,0.0647732417593195,0.39977594745564
"Flume 1","ALAN + Crayfish","Prey","Chironomidae",7.44671428571429,8.15477659147828,-26.3182857142857,38.0878301835231,4.67061601949032,0.0815477659147828,0.380878301835231
"Flume 1","ALAN + Crayfish","Prey","Ephemeroptera",8.30971428571429,9.85871874077604,-27.5972857142857,43.1932274066731,4.38122118526662,0.0985871874077604,0.431932274066731
"Flume 1","ALAN + Crayfish","Prey","Ephemeroptera",7.50571428571429,9.5983806586519,-27.9832857142857,42.4531139688651,4.42294544034344,0.095983806586519,0.424531139688651
"Flume 1","ALAN + Crayfish","Prey","Ephemeroptera",7.37271428571429,10.3057870548446,-29.7222857142857,41.8079059797215,4.05674071831983,0.103057870548446,0.418079059797215
"Flume 2","Crayfish","Prey","Gammaridae",7.43771428571429,6.52963994002233,-26.3692857142857,33.0716038570703,5.06484341569334,0.0652963994002233,0.330716038570703
"Flume 2","Crayfish","Prey","Gammaridae",6.87271428571429,6.291011824026,-25.2642857142857,30.5133400103981,4.85030721033851,0.06291011824026,0.305133400103981
"Flume 2","Crayfish","Prey","Gammaridae",7.08771428571429,6.6782548441778,-25.3742857142857,31.8484089376327,4.76897178690308,0.066782548441778,0.318484089376327
"Flume 2","Crayfish","Prey","Chironomidae",7.64671428571429,8.29847719486551,-25.5672857142857,40.0398165320941,4.82495951870156,0.0829847719486551,0.400398165320941
"Flume 2","Crayfish","Prey","Chironomidae",7.63371428571429,8.64362414405726,-25.6992857142857,40.7088854175544,4.70970101650508,0.0864362414405726,0.407088854175544
"Flume 2","Crayfish","Prey","Ephemeroptera",7.97271428571429,9.62306778614736,-28.0882857142857,40.0475414913771,4.16161897446327,0.0962306778614736,0.400475414913771
"Flume 2","Crayfish","Prey","Ephemeroptera",8.81371428571429,11.2102694393808,-30.1652857142857,45.650085983725,4.07216670665915,0.112102694393808,0.45650085983725
"Flume 3","ALAN","Prey","Gammaridae",6.64071428571429,6.4242837450202,-25.4332857142857,31.7884090171361,4.94816391660424,0.064242837450202,0.317884090171361
"Flume 3","ALAN","Prey","Gammaridae",8.04971428571429,8.15550775843694,-26.6912857142857,39.9173320987745,4.89452444668202,0.0815550775843694,0.399173320987745
"Flume 3","ALAN","Prey","Gammaridae",7.59171428571429,6.07949036390248,-27.3492857142857,37.8426134377728,6.22463581198627,0.0607949036390248,0.378426134377728
"Flume 3","ALAN","Prey","Chironomidae",7.18971428571429,8.49748589069779,-25.2382857142857,36.8534691999845,4.33698504169663,0.0849748589069779,0.368534691999845
"Flume 3","ALAN","Prey","Chironomidae",7.65571428571429,8.95285034969226,-26.2182857142857,41.7031291215591,4.65808401711892,0.0895285034969226,0.417031291215591
"Flume 3","ALAN","Prey","Chironomidae",7.33371428571429,7.955993036765,-25.3832857142857,37.2733050294822,4.68493434537217,0.07955993036765,0.372733050294822
"Flume 3","ALAN","Prey","Ephemeroptera",7.89671428571429,9.70036387331994,-27.4232857142857,44.2543979790078,4.56213793182809,0.0970036387331994,0.442543979790078
"Flume 3","ALAN","Prey","Ephemeroptera",8.24771428571428,11.056868858386,-30.3242857142857,43.7715472678158,3.95876516475256,0.11056868858386,0.437715472678158
"Flume 3","ALAN","Prey","Ephemeroptera",9.08471428571429,11.2137841424053,-27.3262857142857,44.2353705778662,3.94473177083806,0.112137841424053,0.442353705778662
"Flume 4","Control","Prey","Gammaridae",7.51971428571429,7.10817284145654,-26.0652857142857,33.2688824936287,4.68037050247242,0.0710817284145654,0.332688824936287
"Flume 4","Control","Prey","Gammaridae",7.06371428571429,6.13886360281651,-25.9682857142857,32.3352459696959,5.26730158247212,0.0613886360281651,0.323352459696959
"Flume 4","Control","Prey","Gammaridae",6.57871428571429,6.45749245402136,-26.6992857142857,33.9099823363483,5.25126162791427,0.0645749245402136,0.339099823363483
"Flume 4","Control","Prey","Chironomidae",7.07371428571429,8.33854610937214,-25.9352857142857,36.0319194606818,4.32112732700292,0.0833854610937214,0.360319194606818
"Flume 4","Control","Prey","Chironomidae",7.63571428571429,7.69011161785902,-25.2832857142857,37.9654263772844,4.93691486728436,0.0769011161785902,0.379654263772844
"Flume 4","Control","Prey","Chironomidae",6.23171428571429,9.4386514061058,-25.9082857142857,40.7798594703691,4.32051759470521,0.094386514061058,0.407798594703691
"Flume 4","Control","Prey","Ephemeroptera",6.93471428571429,10.6369920959228,-28.7822857142857,42.4925344169126,3.99478856745605,0.106369920959228,0.424925344169126
"Flume 5","Crayfish","Prey","Gammaridae",6.99871428571429,6.10838179989718,-25.6552857142857,29.64026317522,4.85239203216128,0.0610838179989718,0.2964026317522
"Flume 5","Crayfish","Prey","Gammaridae",7.56971428571429,6.75533800261052,-26.1712857142857,34.6030893993776,5.12233279608002,0.0675533800261052,0.346030893993776
"Flume 5","Crayfish","Prey","Gammaridae",6.76371428571429,7.43555107443316,-25.8612857142857,36.2201740586974,4.87121582463996,0.0743555107443316,0.362201740586974
"Flume 5","Crayfish","Prey","Chironomidae",7.50471428571429,9.11456746240723,-25.8632857142857,42.5338301328713,4.66657691747863,0.0911456746240723,0.425338301328713
"Flume 5","Crayfish","Prey","Chironomidae",7.46371428571429,8.92662879584767,-25.5582857142857,39.1482903526144,4.38556270770716,0.0892662879584767,0.391482903526144
"Flume 5","Crayfish","Prey","Chironomidae",7.52471428571429,8.38524861096131,-25.1552857142857,39.4242637732651,4.70162133555935,0.0838524861096131,0.394242637732651
"Flume 5","Crayfish","Prey","Ephemeroptera",8.81871428571429,9.88151186614569,-28.2842857142857,39.4521751971406,3.99252419382349,0.0988151186614569,0.394521751971406
"Flume 5","Crayfish","Prey","Ephemeroptera",7.69971428571429,9.79710029534845,-26.8812857142857,41.2590465656649,4.21135288216394,0.0979710029534845,0.412590465656649
"Flume 5","Crayfish","Prey","Ephemeroptera",8.06071428571429,10.1550924022158,-27.8022857142857,46.41623872392,4.57073524154169,0.101550924022158,0.4641623872392
"Flume 6","ALAN","Prey","Gammaridae",7.39871428571429,6.85952801388992,-25.4252857142857,32.1404946971471,4.68552568515873,0.0685952801388992,0.321404946971471
"Flume 6","ALAN","Prey","Gammaridae",7.86771428571429,6.59794879949031,-26.8242857142857,32.0836949834828,4.86267716808612,0.0659794879949031,0.320836949834828
"Flume 6","ALAN","Prey","Gammaridae",6.57771428571429,5.9863370933139,-26.3002857142857,31.6595544544699,5.28863543114374,0.059863370933139,0.316595544544699
"Flume 6","ALAN","Prey","Chironomidae",7.45671428571429,9.84978696121231,-25.6812857142857,41.6729217923917,4.23084498745977,0.0984978696121231,0.416729217923917
"Flume 6","ALAN","Prey","Chironomidae",6.95071428571429,8.12369815474488,-26.1542857142857,35.3822981221152,4.35544224417659,0.0812369815474488,0.353822981221152
"Flume 6","ALAN","Prey","Chironomidae",7.45171428571429,9.82890842173658,-25.6162857142857,40.9298073556367,4.16422715518649,0.0982890842173658,0.409298073556367
"Flume 6","ALAN","Prey","Ephemeroptera",7.55571428571429,9.80277343790231,-29.4752857142857,38.993425591971,3.9777952473331,0.0980277343790231,0.38993425591971
"Flume 6","ALAN","Prey","Ephemeroptera",7.22171428571429,10.0171003966768,-28.2172857142857,40.4873488454687,4.04182320653396,0.100171003966768,0.404873488454687
"Flume 7","Control","Prey","Gammaridae",6.08871428571429,6.32261854464493,-26.2002857142857,33.0505378690159,5.22734965515335,0.0632261854464493,0.330505378690159
"Flume 7","Control","Prey","Gammaridae",7.38871428571429,7.08675843460175,-26.5742857142857,33.9863447363109,4.79575324175993,0.0708675843460175,0.339863447363109
"Flume 7","Control","Prey","Gammaridae",8.12071428571429,7.78947123923344,-27.3152857142857,36.0173242874993,4.62384713690062,0.0778947123923344,0.360173242874993
"Flume 7","Control","Prey","Chironomidae",7.50371428571429,9.36946946001489,-25.5722857142857,40.254132949084,4.29630867797503,0.0936946946001489,0.40254132949084
"Flume 7","Control","Prey","Chironomidae",5.87708333333333,8.72170750899194,-25.7625,39.1812136064667,4.49237876483149,0.0872170750899194,0.391812136064667
"Flume 7","Control","Prey","Chironomidae",6.87608333333333,8.39694252472455,-25.9645,37.8624147528014,4.5090715628119,0.0839694252472455,0.378624147528014
"Flume 7","Control","Prey","Ephemeroptera",7.01608333333333,10.2442984759518,-27.3245,41.5271296057298,4.05368212408235,0.102442984759518,0.415271296057298
"Flume 7","Control","Prey","Ephemeroptera",8.75608333333333,11.1999200857953,-30.5815,43.8606703184673,3.91615922100153,0.111999200857953,0.438606703184673
"Flume 7","Control","Prey","Ephemeroptera",8.35308333333333,10.173304710022,-30.8985,42.4961581925054,4.17722258438217,0.10173304710022,0.424961581925054
"Flume 8","ALAN + Crayfish","Prey","Gammaridae",7.04308333333333,5.5530780297729,-26.2595,28.4774378606496,5.12822577099897,0.055530780297729,0.284774378606496
"Flume 8","ALAN + Crayfish","Prey","Gammaridae",8.52008333333333,9.03365156577545,-26.6205,36.9946525955926,4.09520472715033,0.0903365156577545,0.369946525955926
"Flume 8","ALAN + Crayfish","Prey","Gammaridae",7.76708333333333,6.7806211168416,-25.3045,30.6690658429349,4.52304668177958,0.067806211168416,0.306690658429349
"Flume 8","ALAN + Crayfish","Prey","Chironomidae",5.39908333333333,8.05185211461237,-26.6455,40.0582019883341,4.97502952341078,0.0805185211461237,0.400582019883341
"Flume 8","ALAN + Crayfish","Prey","Chironomidae",7.00308333333333,7.14144630159308,-25.2405,34.8492645959703,4.87986090271327,0.0714144630159308,0.348492645959703
"Flume 8","ALAN + Crayfish","Prey","Chironomidae",6.41008333333333,9.75215663499419,-26.1255,40.4626588604639,4.1490985404469,0.0975215663499419,0.404626588604639
"Flume 8","ALAN + Crayfish","Prey","Ephemeroptera",7.60808333333333,10.462729756244,-28.4915,42.8647923735536,4.09690332945594,0.10462729756244,0.428647923735536
"Flume 8","ALAN + Crayfish","Prey","Ephemeroptera",8.28408333333334,10.9511819388566,-28.5045,44.5555766656079,4.06856327603485,0.109511819388566,0.445555766656079
"Flume 8","ALAN + Crayfish","Prey","Ephemeroptera",8.25308333333333,12.5999200810137,-28.9325,55.4766284448933,4.40293494626914,0.125999200810137,0.554766284448933
"Flume 8","ALAN + Crayfish","Prey","Tipulidae",5.59508333333333,6.3356165276399,-26.9495,29.1703543803224,4.60418559946979,0.063356165276399,0.291703543803224
"Flume 8","ALAN + Crayfish","Prey","Tipulidae",6.02208333333333,6.0663975365427,-26.8515,27.6709604834241,4.56134968352141,0.060663975365427,0.276709604834241
"Flume 8","ALAN + Crayfish","Prey","Tipulidae",5.46808333333333,7.5490511183938,-26.9085,33.3524638707592,4.41810014897019,0.075490511183938,0.333524638707592
"Flume 3","ALAN","Prey","Tipulidae",5.94708333333333,8.81923791783631,-25.4525,36.7847682902402,4.17096903756792,0.0881923791783631,0.367847682902402
"Flume 3","ALAN","Prey","Tipulidae",5.95408333333333,6.89304430338994,-26.1935,29.6540368034111,4.30202324230347,0.0689304430338994,0.296540368034111
"Flume 3","ALAN","Prey","Tipulidae",6.13008333333333,7.61281093989662,-25.8455,35.4590714073196,4.65781584322402,0.0761281093989662,0.354590714073196
"Flume 4","Control","Prey","Simuliidae",4.91208333333333,9.79418103788977,-26.4255,41.9605865945567,4.28423636771957,0.0979418103788977,0.419605865945567
"Flume 3","ALAN","Prey","Simuliidae",4.86308333333333,9.91103985129266,-26.4415,43.3568327007971,4.37459977472922,0.0991103985129266,0.433568327007971
"Flume 2","Crayfish","Prey","Simuliidae",4.97408333333333,10.8034669762117,-26.5215,42.1569743029165,3.90217088604449,0.108034669762117,0.421569743029165
