"Flume","Treatment","Order","Family","Type","Sample_Group","Plate_ID","Plate_Position","Sample_ID","Weight_mg","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Flume 10","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","B3","F10EPH3",0.7284,9.25175,10.6564769923723,-31.639875,43.1316051508778,4.04745444312889,0.106564769923723,0.431316051508778
"Flume 10","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","B4","F10EPH2",1.0015,9.23875,10.5502117540324,-32.818875,44.0185606169162,4.17229166988917,0.105502117540324,0.440185606169162
"Flume 10","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","B5","F10EPH1",1.0124,8.78475,10.7647170386415,-30.239875,44.6773416568277,4.1503498416588,0.107647170386415,0.446773416568277
"Flume 10","Control","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","B6","F10CH3",1.2952,7.85875,8.27805444094468,-25.731875,39.0826208144413,4.72123263905247,0.0827805444094468,0.390826208144413
"Flume 10","Control","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","B7","F10CH2",0.824,7.77375,8.8564176924552,-26.375875,40.369636498943,4.55823538374144,0.088564176924552,0.40369636498943
"Flume 10","Control","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","B8","F10CH1",0.7275,7.77875,8.07850622784729,-26.086875,38.7342904033118,4.79473423809361,0.0807850622784729,0.387342904033118
"Flume 10","Control","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","B9","F10G3",0.9221,7.83875,7.16318748169521,-26.319875,34.9080523607678,4.87325683572736,0.0716318748169521,0.349080523607678
"Flume 10","Control","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","B10","F10G2",0.8693,7.64175,6.79577359941821,-26.681875,33.1304583173683,4.87515627657234,0.0679577359941821,0.331304583173683
"Flume 10","Control","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","B11","F10G1",0.864,9.26775,6.70493745937067,-26.501875,33.0619076009974,4.93097926734437,0.0670493745937067,0.330619076009974
"Flume 9","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","B12","F9EPH3",0.7308,6.76175,10.4271518796881,-26.550875,40.2859663108312,3.86356377807323,0.104271518796881,0.402859663108312
