"Flume","Treatment","Type","Family","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Flume 12","Crayfish","Prey","Chironomidae",8.37421428571429,10.0436618799337,-25.5909285714286,44.5101250148278,4.4316630275811,0.100436618799337,0.445101250148278
"Flume 12","Crayfish","Prey","Chironomidae",8.24721428571429,10.2275678648957,-25.5169285714286,44.5657602205263,4.35741525348273,0.102275678648957,0.445657602205263
"Flume 12","Crayfish","Prey","Chironomidae",8.35721428571429,10.147151224153,-25.5949285714286,44.5755305164591,4.39291083100815,0.10147151224153,0.445755305164591
"Flume 13","Control","Prey","Chironomidae",8.12721428571429,10.9247000598115,-25.8289285714286,45.162537471166,4.13398420312743,0.109247000598115,0.45162537471166
"Flume 13","Control","Prey","Chironomidae",8.02021428571429,10.8595268768561,-25.7829285714286,44.9868610348839,4.14261703525596,0.108595268768561,0.449868610348839
"Flume 13","Control","Prey","Chironomidae",8.12921428571429,11.0240729424694,-25.7409285714286,45.2312600767816,4.10295362819413,0.110240729424694,0.452312600767816
"Flume 14","ALAN + Crayfish","Prey","Chironomidae",7.18921428571429,11.4774578310827,-26.1259285714286,44.7549402380261,3.89937744896983,0.114774578310827,0.447549402380261
"Flume 14","ALAN + Crayfish","Prey","Chironomidae",7.14621428571429,11.627795402235,-26.1579285714286,44.4979390008062,3.82685947434656,0.11627795402235,0.444979390008062
"Flume 14","ALAN + Crayfish","Prey","Chironomidae",7.3442,11.9201516427983,-26.1757333333333,45.3185961632366,3.80184728527478,0.119201516427983,0.453185961632366
"Flume 15","Crayfish","Prey","Chironomidae",7.4942,11.5237841657024,-26.1097333333333,45.704817543671,3.96612925810428,0.115237841657024,0.45704817543671
"Flume 15","Crayfish","Prey","Chironomidae",7.3852,11.5049761973379,-26.1027333333333,45.6714819372872,3.96971546519626,0.115049761973379,0.456714819372872
"Flume 15","Crayfish","Prey","Chironomidae",7.3612,11.4861629435393,-26.0437333333333,44.6847928715903,3.89031507660481,0.114861629435393,0.446847928715903
"Flume 16","ALAN","Prey","Chironomidae",7.8182,10.9020231357852,-26.3797333333333,45.8904791195786,4.20935440587593,0.109020231357852,0.458904791195786
"Flume 16","ALAN","Prey","Chironomidae",7.8202,10.9503340987987,-26.3347333333333,45.9804830406039,4.19900275423085,0.109503340987987,0.459804830406039
"Flume 16","ALAN","Prey","Chironomidae",7.8602,10.9544653138565,-26.3357333333333,45.7406524769758,4.17552579395341,0.109544653138565,0.457406524769758
"Flume 1","ALAN + Crayfish","Prey","Cicadellidae",2.8372,9.59832541008673,-28.8297333333333,50.0016513816641,5.20941406394891,0.0959832541008673,0.500016513816641
"Flume 1","ALAN + Crayfish","Prey","Cicadellidae",2.9972,9.53004298510376,-28.8247333333333,49.7363058407859,5.21889627554963,0.0953004298510376,0.497363058407859
"Flume 1","ALAN + Crayfish","Prey","Cicadellidae",2.9072,9.76119167771601,-28.6567333333333,50.1494416059148,5.13763516399353,0.0976119167771601,0.501494416059148
"Flume 2","Crayfish","Prey","Cicadellidae",2.7882,10.0684048492637,-26.3527333333333,48.4975254735452,4.81680327714395,0.100684048492637,0.484975254735452
"Flume 2","Crayfish","Prey","Cicadellidae",2.8892,0.986781194996238,-26.3997333333333,4.79531299222095,4.85955044191862,0.00986781194996238,0.0479531299222095
"Flume 2","Crayfish","Prey","Cicadellidae",2.7892,10.2263613474018,-26.3367333333333,48.4994856222948,4.74259455291172,0.102263613474018,0.484994856222948
"Flume 3","ALAN","Prey","Cicadellidae",2.1372,10.6419627190804,-26.7717333333333,48.151901683739,4.52472001216521,0.106419627190804,0.48151901683739
"Flume 3","ALAN","Prey","Cicadellidae",2.2632,10.6932480851334,-26.8277333333333,47.9169735384859,4.48104945821876,0.106932480851334,0.479169735384859
"Flume 3","ALAN","Prey","Cicadellidae",1.9562,10.5547126657294,-26.7117333333333,46.8824729158207,4.44185212810631,0.105547126657294,0.468824729158207
"Flume 4","Control","Prey","Cicadellidae",0.787200000000001,10.1737570161976,-26.8757333333333,48.7729394005851,4.79399491485143,0.101737570161976,0.487729394005851
"Flume 4","Control","Prey","Cicadellidae",0.981200000000001,10.3312697373115,-27.0017333333333,48.5236863465126,4.69677857420265,0.103312697373115,0.485236863465126
"Flume 4","Control","Prey","Cicadellidae",0.9072,10.1996295158875,-27.0517333333333,48.527541754952,4.75777494460585,0.101996295158875,0.48527541754952
"Flume 5","Crayfish","Prey","Cicadellidae",2.7302,9.73699077139247,-27.8247333333333,50.3012719228518,5.16599769927258,0.0973699077139247,0.503012719228518
"Flume 5","Crayfish","Prey","Cicadellidae",2.7352,9.64888278236965,-27.9427333333333,50.6433135370746,5.24861941836517,0.0964888278236965,0.506433135370747
"Flume 5","Crayfish","Prey","Cicadellidae",2.7262,9.39912626981716,-27.9527333333333,50.3681446910218,5.35881136662308,0.0939912626981716,0.503681446910218
"Flume 6","ALAN","Prey","Cicadellidae",3.4722,10.5320912067115,-28.5717333333333,48.9498441479715,4.64768517355589,0.105320912067115,0.489498441479715
"Flume 6","ALAN","Prey","Cicadellidae",3.7112,10.3946117771749,-28.6177333333333,48.4614130147235,4.66216671229011,0.103946117771749,0.484614130147235
"Flume 6","ALAN","Prey","Cicadellidae",3.6182,10.5001914172307,-28.6327333333333,48.9788593409311,4.66456823449499,0.105001914172307,0.489788593409311
"Flume 7","Control","Prey","Cicadellidae",4.0472,9.32916886081182,-27.8207333333333,49.4496310663256,5.30053982343959,0.0932916886081182,0.494496310663256
"Flume 7","Control","Prey","Cicadellidae",4.0912,9.5835120332917,-27.5777333333333,49.6564805174945,5.18144917489489,0.095835120332917,0.496564805174945
"Flume 7","Control","Prey","Cicadellidae",3.8232,9.35900733094628,-27.6247333333333,49.3482183508238,5.27280475437284,0.0935900733094628,0.493482183508238
"Flume 8","ALAN + Crayfish","Prey","Cicadellidae",-0.179799999999999,10.1129926726314,-26.5527333333333,48.1731190086504,4.76348797710694,0.101129926726314,0.481731190086504
"Flume 8","ALAN + Crayfish","Prey","Cicadellidae",0.0112000000000006,10.1423092809304,-26.5937333333333,47.5284380145239,4.68615546006737,0.101423092809304,0.475284380145239
"Flume 8","ALAN + Crayfish","Prey","Cicadellidae",0.0222000000000006,10.0955286007117,-26.5657333333333,47.6790372362545,4.72278759458848,0.100955286007117,0.476790372362545
"Flume 9","ALAN","Prey","Cicadellidae",0,8.8350098808481,-27.7367333333333,50.2711781738907,5.68999682534197,0.088350098808481,0.502711781738907
"Flume 9","ALAN","Prey","Cicadellidae",2.3772,9.46777857547047,-27.6677333333333,50.0213362266441,5.28332341403098,0.0946777857547047,0.500213362266441
"Flume 9","ALAN","Prey","Cicadellidae",2.6832,9.60707529685274,-27.6637333333333,49.7670846185589,5.18025341540338,0.0960707529685274,0.497670846185589
"Flume 10","Control","Prey","Cicadellidae",2.5852,10.4724238400593,-27.0547333333333,49.3404891653496,4.71146793893229,0.104724238400593,0.493404891653496
