"Flume","Treatment","Type","Order","Family","d15N","d13C"
"Flume 12","Crayfish","Prey","Hemiptera","Cicadellidae",-0.0867999999999994,-25.8897333333333
"Flume 12","Crayfish","Prey","Hemiptera","Cicadellidae",-0.139799999999999,-25.7417333333333
"Flume 13","Control","Prey","Hemiptera","Cicadellidae",-0.138799999999999,-25.7297333333333
"Flume 13","Control","Prey","Hemiptera","Cicadellidae",-0.204799999999999,-25.7257333333333
"Flume 13","Control","Prey","Hemiptera","Cicadellidae",-0.0347999999999994,-25.3437333333333
"Flume 14","ALAN + Crayfish","Prey","Hemiptera","Cicadellidae",0.745200000000001,-26.7507333333333
"Flume 14","ALAN + Crayfish","Prey","Hemiptera","Cicadellidae",0.8902,-26.6877333333333
"Flume 14","ALAN + Crayfish","Prey","Hemiptera","Cicadellidae",0.916200000000001,-26.7767333333333
"Flume 15","Crayfish","Prey","Hemiptera","Cicadellidae",0.609200000000001,-27.9147333333333
"Flume 15","Crayfish","Prey","Hemiptera","Cicadellidae",0.696200000000001,-27.9007333333333
"Flume 15","Crayfish","Prey","Hemiptera","Cicadellidae",0.395200000000001,-27.7897333333333
"Flume 16","ALAN","Prey","Hemiptera","Cicadellidae",2.0232,-27.7457333333333
"Flume 16","ALAN","Prey","Hemiptera","Cicadellidae",2.0192,-27.8597333333333
"Flume 16","ALAN","Prey","Hemiptera","Cicadellidae",2.1232,-27.7927333333333
"Flume 1","ALAN + Crayfish","Prey","Coleoptera","Curculionidae",1.7092,-28.3437333333333
"Flume 1","ALAN + Crayfish","Prey","Coleoptera","Curculionidae",1.7312,-28.0677333333333
"Flume 1","ALAN + Crayfish","Prey","Coleoptera","Curculionidae",1.7592,-28.3607333333333
"Flume 2","Crayfish","Prey","Coleoptera","Curculionidae",2.7682,-26.4777333333333
"Flume 2","Crayfish","Prey","Coleoptera","Curculionidae",2.4512,-26.5937333333333
"Flume 2","Crayfish","Prey","Coleoptera","Curculionidae",2.56908333333333,-26.4405
"Flume 3","ALAN","Prey","Coleoptera","Curculionidae",1.85408333333333,-26.8855
"Flume 3","ALAN","Prey","Coleoptera","Curculionidae",2.28708333333333,-26.6055
"Flume 3","ALAN","Prey","Coleoptera","Curculionidae",2.14908333333333,-26.7165
"Flume 4","Control","Prey","Coleoptera","Curculionidae",1.73008333333333,-27.4635
"Flume 4","Control","Prey","Coleoptera","Curculionidae",1.91808333333333,-28.1335
"Flume 4","Control","Prey","Coleoptera","Curculionidae",1.66808333333333,-27.4235
"Flume 5","Crayfish","Prey","Coleoptera","Curculionidae",2.02508333333333,-28.0535
"Flume 5","Crayfish","Prey","Coleoptera","Curculionidae",2.78208333333333,-28.0845
"Flume 5","Crayfish","Prey","Coleoptera","Curculionidae",2.79608333333333,-28.0375
"Flume 6","ALAN","Prey","Coleoptera","Curculionidae",1.43608333333333,-28.0095
"Flume 6","ALAN","Prey","Coleoptera","Curculionidae",1.20108333333333,-28.0055
"Flume 6","ALAN","Prey","Coleoptera","Curculionidae",1.31608333333333,-27.9555
"Flume 7","Control","Prey","Coleoptera","Curculionidae",2.59308333333333,-26.7265
"Flume 7","Control","Prey","Coleoptera","Curculionidae",2.40408333333333,-26.7065
"Flume 7","Control","Prey","Coleoptera","Curculionidae",2.73208333333333,-26.6845
"Flume 8","ALAN + Crayfish","Prey","Coleoptera","Curculionidae",2.05908333333333,-27.8665
"Flume 8","ALAN + Crayfish","Prey","Coleoptera","Curculionidae",2.11808333333333,-27.6035
"Flume 8","ALAN + Crayfish","Prey","Coleoptera","Curculionidae",2.47608333333333,-27.7255
"Flume 9","ALAN","Prey","Coleoptera","Curculionidae",1.34108333333333,-27.7625
"Flume 9","ALAN","Prey","Coleoptera","Curculionidae",1.23008333333333,-27.9115
"Flume 9","ALAN","Prey","Coleoptera","Curculionidae",1.59908333333333,-27.7875
"Flume 10","Control","Prey","Coleoptera","Curculionidae",3.81008333333333,-26.7315
"Flume 10","Control","Prey","Coleoptera","Curculionidae",3.67908333333333,-26.4235
"Flume 10","Control","Prey","Coleoptera","Curculionidae",3.64808333333333,-26.5125
"Flume 11","ALAN + Crayfish","Prey","Coleoptera","Curculionidae",1.46008333333333,-26.6655
"Flume 11","ALAN + Crayfish","Prey","Coleoptera","Curculionidae",1.61308333333333,-26.8175
"Flume 11","ALAN + Crayfish","Prey","Coleoptera","Curculionidae",1.42208333333333,-26.5775
"Flume 12","Crayfish","Prey","Coleoptera","Curculionidae",3.45008333333333,-27.3635
"Flume 12","Crayfish","Prey","Coleoptera","Curculionidae",3.46308333333333,-27.1655
"Flume 12","Crayfish","Prey","Coleoptera","Curculionidae",3.24008333333333,-27.3815
"Flume 13","Control","Prey","Coleoptera","Curculionidae",2.15708333333333,-26.3085
"Flume 13","Control","Prey","Coleoptera","Curculionidae",2.73308333333333,-26.1105
"Flume 13","Control","Prey","Coleoptera","Curculionidae",2.37408333333333,-26.2675
"Flume 14","ALAN + Crayfish","Prey","Coleoptera","Curculionidae",2.04708333333333,-27.1835
"Flume 14","ALAN + Crayfish","Prey","Coleoptera","Curculionidae",2.37808333333333,-27.3165
"Flume 14","ALAN + Crayfish","Prey","Coleoptera","Curculionidae",2.02308333333333,-27.4215
"Flume 15","Crayfish","Prey","Coleoptera","Curculionidae",1.43408333333333,-27.6165
"Flume 15","Crayfish","Prey","Coleoptera","Curculionidae",1.57908333333333,-27.5715
"Flume 15","Crayfish","Prey","Coleoptera","Curculionidae",1.48908333333333,-27.6825
"Flume 16","ALAN","Prey","Coleoptera","Curculionidae",2.15608333333333,-28.4755
"Flume 16","ALAN","Prey","Coleoptera","Curculionidae",2.18908333333333,-28.2715
"Flume 16","ALAN","Prey","Coleoptera","Curculionidae",2.58008333333333,-28.1715
